"geocode","etiqueta","granularidad","gcd_isla","gcd_municipio","superficie","utm_x","utm_y","longitud","latitud"
"250mN094375E192000","250mN094375E192000","GRID_250","ES704","35015","6.25","566384.98","3104828.42","-14.324414","28.06718"
"250mN094375E192025","250mN094375E192025","GRID_250","ES704","35015","6.25","566622.98","3104907.42","-14.321987","28.067881"
"250mN094375E192050","250mN094375E192050","GRID_250","ES704","35015","6.25","566860.99","3104986.42","-14.319561","28.068582"
"250mN094375E192075","250mN094375E192075","GRID_250","ES704","35015","6.25","567099","3105065.41","-14.317134","28.069283"
"250mN094375E192100","250mN094375E192100","GRID_250","ES704","35015","6.25","567337.01","3105144.41","-14.314707","28.069984"
"250mN094375E192125","250mN094375E192125","GRID_250","ES704","35015","6.25","567575.02","3105223.4","-14.312281","28.070685"
"250mN094375E192150","250mN094375E192150","GRID_250","ES704","35015","6.25","567813.03","3105302.39","-14.309854","28.071386"
"250mN094375E192175","250mN094375E192175","GRID_250","ES704","35015","6.25","568051.04","3105381.37","-14.307428","28.072087"
"250mN094375E192200","250mN094375E192200","GRID_250","ES704","35015","6.25","568289.04","3105460.36","-14.305001","28.072787"
"250mN094375E192225","250mN094375E192225","GRID_250","ES704","35015","4.8563","568505.22","3105560.58","-14.302795","28.073681"
"250mN094375E192250","250mN094375E192250","GRID_250","ES704","35015","1.2076","568675.39","3105687.72","-14.301056","28.07482"
"250mN094400E191400","250mN094400E191400","GRID_250","ES704","35015","0.838","560661.65","3103272.28","-14.382736","28.053407"
"250mN094400E191425","250mN094400E191425","GRID_250","ES704","35015","5.0528","560842.09","3103277.12","-14.3809","28.053443"
"250mN094400E191450","250mN094400E191450","GRID_250","ES704","35015","6.25","561086.49","3103331.4","-14.37841","28.053922"
"250mN094400E191475","250mN094400E191475","GRID_250","ES704","35015","6.25","561324.5","3103410.46","-14.375984","28.054624"
"250mN094400E191500","250mN094400E191500","GRID_250","ES704","35015","6.25","561562.51","3103489.52","-14.373558","28.055327"
"250mN094400E191525","250mN094400E191525","GRID_250","ES704","35015","6.25","561800.52","3103568.58","-14.371133","28.056029"
"250mN094400E191550","250mN094400E191550","GRID_250","ES704","35015","6.25","562038.53","3103647.64","-14.368707","28.056732"
"250mN094400E191575","250mN094400E191575","GRID_250","ES704","35015","6.25","562276.54","3103726.69","-14.366281","28.057434"
"250mN094400E191600","250mN094400E191600","GRID_250","ES704","35015","6.25","562514.55","3103805.74","-14.363854","28.058137"
"250mN094400E191625","250mN094400E191625","GRID_250","ES704","35015","6.25","562752.56","3103884.79","-14.361428","28.058839"
"250mN094400E191650","250mN094400E191650","GRID_250","ES704","35015","6.25","562990.57","3103963.83","-14.359002","28.059541"
"250mN094400E191675","250mN094400E191675","GRID_250","ES704","35015","6.25","563228.58","3104042.87","-14.356576","28.060243"
"250mN094400E191700","250mN094400E191700","GRID_250","ES704","35015","6.25","563466.59","3104121.91","-14.35415","28.060945"
"250mN094400E191725","250mN094400E191725","GRID_250","ES704","35015","6.25","563704.6","3104200.95","-14.351724","28.061647"
"250mN094400E191750","250mN094400E191750","GRID_250","ES704","35015","6.25","563942.61","3104279.98","-14.349298","28.062349"
"250mN094400E191775","250mN094400E191775","GRID_250","ES704","35015","6.25","564180.62","3104359.01","-14.346871","28.063051"
"250mN094400E191800","250mN094400E191800","GRID_250","ES704","35015","6.25","564418.63","3104438.04","-14.344445","28.063753"
"250mN094400E191825","250mN094400E191825","GRID_250","ES704","35015","6.25","564656.64","3104517.06","-14.342019","28.064455"
"250mN094400E191850","250mN094400E191850","GRID_250","ES704","35015","6.25","564894.65","3104596.09","-14.339592","28.065156"
"250mN094400E191875","250mN094400E191875","GRID_250","ES704","35015","6.25","565132.66","3104675.1","-14.337166","28.065858"
"250mN094400E191900","250mN094400E191900","GRID_250","ES704","35015","6.25","565370.67","3104754.12","-14.33474","28.06656"
"250mN094400E191925","250mN094400E191925","GRID_250","ES704","35015","6.25","565608.68","3104833.14","-14.332313","28.067261"
"250mN094400E191950","250mN094400E191950","GRID_250","ES704","35015","6.25","565846.69","3104912.15","-14.329887","28.067963"
"250mN094400E191975","250mN094400E191975","GRID_250","ES704","35015","6.25","566084.7","3104991.16","-14.32746","28.068664"
"250mN094400E192000","250mN094400E192000","GRID_250","ES704","35015","6.25","566322.71","3105070.16","-14.325034","28.069365"
"250mN094400E192025","250mN094400E192025","GRID_250","ES704","35015","6.25","566560.72","3105149.16","-14.322607","28.070066"
"250mN094400E192050","250mN094400E192050","GRID_250","ES704","35015","6.25","566798.72","3105228.16","-14.320181","28.070767"
"250mN094400E192075","250mN094400E192075","GRID_250","ES704","35015","6.25","567036.73","3105307.16","-14.317754","28.071468"
"250mN094400E192100","250mN094400E192100","GRID_250","ES704","35015","6.25","567274.74","3105386.16","-14.315327","28.072169"
"250mN094400E192125","250mN094400E192125","GRID_250","ES704","35015","6.25","567512.75","3105465.15","-14.312901","28.07287"
"250mN094400E192150","250mN094400E192150","GRID_250","ES704","35015","6.25","567750.76","3105544.14","-14.310474","28.073571"
"250mN094400E192175","250mN094400E192175","GRID_250","ES704","35015","6.25","567988.77","3105623.13","-14.308047","28.074272"
"250mN094400E192200","250mN094400E192200","GRID_250","ES704","35015","6.25","568226.78","3105702.11","-14.30562","28.074973"
"250mN094400E192225","250mN094400E192225","GRID_250","ES704","35015","6.25","568464.79","3105781.09","-14.303194","28.075673"
"250mN094400E192250","250mN094400E192250","GRID_250","ES704","35015","6.25","568702.8","3105860.07","-14.300767","28.076374"
"250mN094400E192275","250mN094400E192275","GRID_250","ES704","35015","5.0927","568919.27","3105906.14","-14.298561","28.076779"
"250mN094400E192300","250mN094400E192300","GRID_250","ES704","35015","3.6449","569156.23","3106062.12","-14.29614","28.078174"
"250mN094400E192325","250mN094400E192325","GRID_250","ES704","35015","0.5326","569302.03","3106145.76","-14.294652","28.078922"
"250mN094425E191375","250mN094425E191375","GRID_250","ES704","35015","0.616","560395.87","3103417.58","-14.385433","28.054731"
"250mN094425E191400","250mN094425E191400","GRID_250","ES704","35015","5.3902","560541.51","3103440.87","-14.38395","28.054935"
"250mN094425E191425","250mN094425E191425","GRID_250","ES704","35015","6.25","560786.2","3103494.05","-14.381457","28.055404"
"250mN094425E191450","250mN094425E191450","GRID_250","ES704","35015","6.25","561024.21","3103573.12","-14.379032","28.056106"
"250mN094425E191475","250mN094425E191475","GRID_250","ES704","35015","6.25","561262.22","3103652.18","-14.376606","28.056809"
"250mN094425E191500","250mN094425E191500","GRID_250","ES704","35015","6.25","561500.23","3103731.24","-14.37418","28.057512"
"250mN094425E191525","250mN094425E191525","GRID_250","ES704","35015","6.25","561738.24","3103810.3","-14.371754","28.058214"
"250mN094425E191550","250mN094425E191550","GRID_250","ES704","35015","6.25","561976.25","3103889.36","-14.369328","28.058917"
